manufacturer,model,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage_int,mileage,engine_cc,max_power_bhp,torque,seats
Chevrolet,Beat,Chevrolet Beat,2010,150000,70000,Petrol,Individual,Manual,First Owner,19,18.6 kmpl,1199,79,108Nm@ 4400rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2014,475000,40000,Petrol,Individual,Manual,First Owner,19,19.1 kmpl,1197,86,114Nm@ 4000rpm,5
Mahindra,KUV 100,Mahindra KUV 100,2016,425000,70000,Diesel,Individual,Manual,Second Owner,25,25.32 kmpl,1198,77,190Nm@ 1750-2250rpm,6
Honda,City,Honda City,2015,800000,90000,Diesel,Individual,Manual,Second Owner,25,25.1 kmpl,1498,99,200Nm@ 1750rpm,5
Maruti,Wagon R,Maruti Wagon R,2018,509999,8000,Petrol,Individual,Automatic,Second Owner,21,20.51 kmpl,998,67,90Nm@ 3500rpm,5
Toyota,Etios,Toyota Etios,2015,387000,170000,Diesel,Individual,Manual,First Owner,24,23.59 kmpl,1364,67,170Nm@ 1800-2400rpm,5
Maruti,Alto 800,Maruti Alto 800,2014,235000,25000,Petrol,Individual,Manual,First Owner,23,22.74 kmpl,796,47,69Nm@ 3500rpm,5
Maruti,Swift,Maruti Swift,2010,340000,110000,Diesel,Individual,Manual,Third Owner,18,17.8 kmpl,1248,75,190Nm@ 2000rpm,5
Mahindra,XUV 500,Mahindra XUV 500,2016,1000000,100000,Diesel,Individual,Manual,First Owner,16,16.0 kmpl,2179,140,330Nm@ 1600-2800rpm,7
Honda,Jazz,Honda Jazz,2018,860000,40000,Petrol,Individual,Automatic,First Owner,18,18.2 kmpl,1199,89,110Nm@ 4800rpm,5
Volkswagen,Vento,Volkswagen Vento,2014,565000,111000,Diesel,Individual,Manual,First Owner,20,20.34 kmpl,1498,103,250Nm@ 1500-2500rpm,5
Mahindra,Xylo,Mahindra Xylo,2013,450000,120000,Diesel,Individual,Manual,Second Owner,12,11.68 kmpl,2498,112,260Nm@ 1800-2200rpm,7
Maruti,Beno,Maruti Beno,2017,625000,15000,Petrol,Individual,Manual,First Owner,21,21.4 kmpl,1197,83,115Nm@ 4000rpm,5
Maruti,Alto 800,Maruti Alto 800,2016,280000,30000,Petrol,Individual,Manual,Second Owner,23,22.74 kmpl,796,47,69Nm@ 3500rpm,5
Maruti,Alto 800,Maruti Alto 800,2017,330000,50000,Petrol,Individual,Manual,First Owner,24,23.95 kmpl,998,67,90Nm@ 3500rpm,5
Hyundai,Creta,Hyundai Creta,2015,1300000,40000,Diesel,Individual,Manual,First Owner,20,19.67 kmpl,1582,126,259.9Nm@ 1900-2750rpm,5
Tata,Tiago Revotorq,Tata Tiago Revotorq,2018,480000,45000,Petrol,Individual,Manual,Second Owner,24,23.84 kmpl,1199,84,114Nm@ 3500rpm,5
Tata,Tiago Revotorq,Tata Tiago Revotorq,2016,400000,35000,Diesel,Individual,Manual,Second Owner,27,27.28 kmpl,1047,69,140Nm@ 1800-3000rpm,5
Tata,New Safari DICOR,Tata New Safari DICOR,2009,500000,80000,Diesel,Individual,Manual,First Owner,14,13.93 kmpl,2179,138,320Nm@ 1700-2700rpm,7
Mahindra,Xylo,Mahindra Xylo,2012,320000,120000,Diesel,Individual,Manual,First Owner,12,11.68 kmpl,2498,112,260Nm@ 1800-2200rpm,7
Mahindra,XUV 500,Mahindra XUV 500,2014,750000,90000,Diesel,Individual,Manual,Second Owner,15,15.1 kmpl,2179,140,330Nm@ 1600-2800rpm,7
Mahindra,Bolero,Mahindra Bolero,2017,620000,100000,Diesel,Individual,Manual,First Owner,17,16.5 kmpl,1493,70,195Nm@ 1400-2200rpm,7
Maruti,Swift Dzire,Maruti Swift Dzire,2011,300000,120000,Diesel,Individual,Manual,Third Owner,19,19.3 kmpl,1248,74,190Nm@ 2000rpm,5
Hyundai,Creta,Hyundai Creta,2018,1405000,15000,Petrol,Individual,Manual,First Owner,16,15.8 kmpl,1591,121,151Nm@ 4850rpm,5
Maruti,Alto 800,Maruti Alto 800,2017,282000,15000,Petrol,Individual,Manual,First Owner,25,24.7 kmpl,796,47,69Nm@ 3500rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2017,700000,15000,Petrol,Individual,Automatic,First Owner,21,21.21 kmpl,1197,82,113Nm@ 4200rpm,5
Ford,Figo,Ford Figo,2017,700000,70000,Diesel,Individual,Manual,First Owner,26,25.83 kmpl,1498,99,215Nm@ 1750-3000rpm,5
Ford,EcoSport,Ford EcoSport,2015,600000,135000,Diesel,Individual,Manual,First Owner,23,22.77 kmpl,1498,99,205Nm@ 1750-3250rpm,5
Skoda,Rapid,Skoda Rapid,2012,290000,80000,Diesel,Individual,Manual,Second Owner,21,20.5 kmpl,1598,104,250Nm@ 1500-2500rpm,5
Hyundai,i20,Hyundai i20,2017,575000,19000,Petrol,Individual,Manual,First Owner,19,18.6 kmpl,1197,82,114.7Nm@ 4000rpm,5
Hyundai,Creta,Hyundai Creta,2017,875000,42000,Petrol,Individual,Manual,First Owner,15,15.29 kmpl,1591,121,151Nm@ 4850rpm,5
Maruti,Wagon R,Maruti Wagon R,2010,180000,77000,Petrol,Individual,Manual,First Owner,19,18.9 kmpl,998,67,90Nm@ 3500rpm,5
Maruti,Ritz,Maruti Ritz,2012,229999,120000,Diesel,Individual,Manual,First Owner,23,23.2 kmpl,1248,74,190Nm@ 2000rpm,5
Toyota,Glanza,Toyota Glanza,2019,800000,10000,Petrol,Individual,Automatic,First Owner,20,19.56 kmpl,1197,82,113Nm@ 4200rpm,5
Chevrolet,Spark,Chevrolet Spark,2009,60000,110000,Petrol,Individual,Manual,Third Owner,17,16.5 kmpl,995,63,90.3Nm@ 4200rpm,5
Maruti,SX4,Maruti SX4,2009,150000,110000,Petrol,Individual,Manual,First Owner,15,15.0 kmpl,1586,105,"145@ 4,100(kgm@ rpm)",5
Hyundai,Creta,Hyundai Creta,2015,900000,90000,Petrol,Individual,Manual,First Owner,15,15.29 kmpl,1591,121,151Nm@ 4850rpm,5
Hyundai,i20,Hyundai i20,2018,850000,50000,Diesel,Individual,Manual,First Owner,23,22.54 kmpl,1396,89,219.7Nm@ 1500-2750rpm,5
Chevrolet,Beat,Chevrolet Beat,2014,220000,50000,Diesel,Individual,Manual,First Owner,25,25.44 kmpl,936,56,142.5Nm@ 1750rpm,5
Maruti,Alto 800,Maruti Alto 800,2014,250000,40000,Petrol,Individual,Manual,Second Owner,23,22.74 kmpl,796,47,69Nm@ 3500rpm,5
Tata,Indica Vista,Tata Indica Vista,2012,125000,120000,Diesel,Individual,Manual,First Owner,22,22.3 kmpl,1248,74,190Nm@ 1750-3000rpm,5
Hyundai,Creta,Hyundai Creta,2018,1200000,27000,Petrol,Individual,Manual,First Owner,16,15.8 kmpl,1591,121,151Nm@ 4850rpm,5
Tata,Indigo,Tata Indigo,2013,250000,100000,Diesel,Individual,Manual,First Owner,24,23.57 kmpl,1396,70,140Nm@ 1800-3000rpm,5
Hyundai,i20 Sportz,Hyundai i20 Sportz,2014,440000,70000,Diesel,Individual,Manual,Second Owner,23,22.54 kmpl,1396,89,219.7Nm@ 1500-2750rpm,5
Tata,Tiago Revotorq,Tata Tiago Revotorq,2017,400000,40000,Petrol,Individual,Manual,First Owner,24,23.84 kmpl,1199,84,114Nm@ 3500rpm,5
Hyundai,Verna,Hyundai Verna,2018,1000000,10000,Petrol,Individual,Manual,First Owner,17,17.0 kmpl,1591,121,151Nm@ 4850rpm,5
Honda,City,Honda City,2014,600000,160000,Diesel,Individual,Manual,First Owner,25,25.1 kmpl,1498,99,200Nm@ 1750rpm,5
Hyundai,i20,Hyundai i20,2010,250000,60000,Petrol,Individual,Manual,First Owner,17,17.0 kmpl,1197,80,"11.4 kgm at 4,000 rpm",5
Mahindra,Bolero,Mahindra Bolero,2009,310000,110000,Diesel,Individual,Manual,First Owner,14,13.6 kmpl,2523,63,180 Nm at 1440-1500rpm,7
Mahindra,Xylo,Mahindra Xylo,2014,390000,78000,Diesel,Individual,Manual,First Owner,12,11.68 kmpl,2498,112,260Nm@ 1800-2200rpm,7
Hyundai,Santro,Hyundai Santro,2019,458000,30000,Petrol,Individual,Manual,First Owner,20,20.3 kmpl,1086,68,99Nm@ 4500rpm,5
Ford,EcoSport,Ford EcoSport,2018,950000,20000,Diesel,Individual,Manual,First Owner,23,23.0 kmpl,1498,99,205Nm@ 1750-3250rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2017,650000,21000,Petrol,Individual,Manual,First Owner,22,22.0 kmpl,1197,82,113Nm@ 4200rpm,5
Maruti,Swift,Maruti Swift,2013,400000,70000,Diesel,Individual,Manual,First Owner,23,22.9 kmpl,1248,74,190Nm@ 2000rpm,5
Hyundai,Grand i10,Hyundai Grand i10,2015,400000,70000,Petrol,Individual,Automatic,Second Owner,19,18.9 kmpl,1197,82,114Nm@ 4000rpm,5
Hyundai,i10,Hyundai i10,2012,350000,25000,Petrol,Individual,Manual,First Owner,20,20.36 kmpl,1197,79,111.8Nm@ 4000rpm,5
Volkswagen,Polo,Volkswagen Polo,2010,250000,80000,Diesel,Individual,Manual,Fourth & Above Owner,22,22.07 kmpl,1199,74,180Nm@ 2000rpm,5
Mahindra,Bolero,Mahindra Bolero,2013,450000,146000,Diesel,Individual,Manual,Second Owner,16,15.96 kmpl,2523,62,195Nm@ 1400-2200rpm,7
Mahindra,XUV 500,Mahindra XUV 500,2018,1500000,60000,Diesel,Individual,Manual,First Owner,15,15.1 kmpl,2179,153,360Nm@ 1750-2800rpm,7
Mahindra,XUV 500,Mahindra XUV 500,2018,1500000,60000,Diesel,Individual,Manual,First Owner,15,15.1 kmpl,2179,153,360Nm@ 1750-2800rpm,7
Chevrolet,Tavera,Chevrolet Tavera,2010,280000,100000,Diesel,Individual,Manual,Second Owner,15,14.8 kmpl,2499,80,"19@ 1,800(kgm@ rpm)",10
Hyundai,i20 Magna,Hyundai i20 Magna,2015,600000,35000,Petrol,Individual,Manual,First Owner,19,18.6 kmpl,1197,82,114.7Nm@ 4000rpm,5
Tata,Sumo,Tata Sumo,2012,250999,120000,Diesel,Individual,Manual,Fourth & Above Owner,15,15.3 kmpl,2956,84,250Nm@ 1000-2000rpm,7
Toyota,Corolla Altis,Toyota Corolla Altis,2010,350000,80000,Petrol,Individual,Manual,Second Owner,13,12.5 kmpl,1794,132,170Nm@ 4200rpm,5
Renault,KWID,Renault KWID,2016,300000,34000,Petrol,Individual,Manual,First Owner,23,23.01 kmpl,999,67,91Nm@ 4250rpm,5
Renault,Duster,Renault Duster,2017,819999,50000,Diesel,Individual,Manual,First Owner,20,19.87 kmpl,1461,84,200Nm@ 1750rpm,5
Tata,Indigo,Tata Indigo,2010,409999,100000,Diesel,Individual,Manual,Second Owner,20,19.61 kmpl,1405,70,135.4Nm@ 2500,5
Maruti,Ertiga,Maruti Ertiga,2013,497000,110000,Diesel,Individual,Manual,First Owner,21,20.77 kmpl,1248,89,200Nm@ 1750rpm,7
Hyundai,i20 Asta,Hyundai i20 Asta,2015,500000,70000,Petrol,Individual,Manual,First Owner,19,18.6 kmpl,1197,82,114.7Nm@ 4000rpm,5
Ford,Ecosport,Ford Ecosport,2016,515000,68609,Diesel,Dealer,Manual,First Owner,23,22.7 kmpl,1498,90,204Nm@ 2000-2750rpm,5
Ford,EcoSport,Ford EcoSport,2018,925000,33360,Diesel,Dealer,Manual,First Owner,23,22.77 kmpl,1498,99,205Nm@ 1750-3250rpm,5
Tata,Nexon Revotron,Tata Nexon Revotron,2017,830000,35000,Diesel,Individual,Manual,First Owner,22,21.5 kmpl,1497,109,260Nm@ 1500-2750rpm,5
Ford,EcoSport,Ford EcoSport,2019,975000,30000,Diesel,Individual,Manual,First Owner,23,23.0 kmpl,1498,99,205Nm@ 1750-3250rpm,5
Ford,Aspire,Ford Aspire,2018,620000,15000,Petrol,Individual,Manual,First Owner,20,20.4 kmpl,1194,95,120Nm@ 4250rpm,5
Datsun,GO,Datsun GO,2018,430000,5000,Petrol,Individual,Manual,Second Owner,21,20.63 kmpl,1198,67,104Nm@ 4000rpm,5
Honda,City,Honda City,2019,1227000,5000,Petrol,Individual,Automatic,First Owner,18,18.0 kmpl,1497,118,145Nm@ 4600rpm,5
Honda,City,Honda City,2017,860000,28000,Petrol,Individual,Manual,First Owner,18,17.8 kmpl,1497,117,145Nm@ 4600rpm,5
Ford,EcoSport,Ford EcoSport,2018,950000,40000,Diesel,Individual,Manual,First Owner,23,23.0 kmpl,1498,99,205Nm@ 1750-3250rpm,5
Ford,Figo,Ford Figo,2012,225000,87237,Diesel,Dealer,Manual,Second Owner,20,20.0 kmpl,1399,68,160Nm@ 2000rpm,5
Ford,Figo,Ford Figo,2017,500000,62960,Diesel,Dealer,Manual,First Owner,26,25.83 kmpl,1498,99,215Nm@ 1750-3000rpm,5
Maruti,Ertiga,Maruti Ertiga,2014,545000,110000,Diesel,Individual,Manual,First Owner,21,20.77 kmpl,1248,89,200Nm@ 1750rpm,7
Maruti,Swift,Maruti Swift,2011,400000,72000,Diesel,Individual,Manual,First Owner,23,22.9 kmpl,1248,74,190Nm@ 2000rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2018,650000,50000,Diesel,Individual,Manual,First Owner,28,28.4 kmpl,1248,74,190Nm@ 2000rpm,5
Maruti,Beno,Maruti Beno,2015,562000,60000,Diesel,Individual,Manual,First Owner,27,27.39 kmpl,1248,74,190Nm@ 2000rpm,5
Jaguar,XF,Jaguar XF,2017,2711000,9000,Diesel,Dealer,Automatic,First Owner,14,13.6 kmpl,1999,177,430Nm@ 1750-2500rpm,5
Jaguar,XF,Jaguar XF,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19,19.33 kmpl,1999,177,430Nm@ 1750-2500rpm,5
Tata,Safari,Tata Safari,2015,503000,110000,Diesel,Individual,Manual,First Owner,14,14.1 kmpl,2179,148,320Nm@ 1500-3000rpm,7
Volvo,XC40 D4,Volvo XC40 D4,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18,18.0 kmpl,1969,190,400Nm,5
Toyota,Camry Hybrid,Toyota Camry Hybrid,2016,2000000,68089,Petrol,Dealer,Automatic,First Owner,19,19.16 kmpl,2494,158,213Nm@ 4500rpm,5
Maruti,Wagon R,Maruti Wagon R,2013,225000,58343,Petrol,Dealer,Manual,First Owner,22,21.79 kmpl,998,67,90Nm@ 3500rpm,5
Maruti,Beno,Maruti Beno,2018,740000,38817,Diesel,Dealer,Manual,First Owner,27,27.39 kmpl,1248,74,190Nm@ 2000rpm,5
Honda,Jazz,Honda Jazz,2016,550000,56494,Petrol,Dealer,Manual,First Owner,18,18.2 kmpl,1199,89,110Nm@ 4800rpm,5
Toyota,Innova,Toyota Innova,2013,750000,79328,Diesel,Dealer,Manual,Second Owner,13,12.99 kmpl,2494,101,200Nm@ 1200-3600rpm,7
Maruti,Swift,Maruti Swift,2019,650000,5621,Petrol,Dealer,Automatic,First Owner,22,22.0 kmpl,1197,82,113Nm@ 4200rpm,5
Toyota,Etios,Toyota Etios,2017,625000,25538,Petrol,Dealer,Manual,First Owner,17,16.78 kmpl,1496,89,132Nm@ 3000rpm,5
Maruti,Swift,Maruti Swift,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,22,22.0 kmpl,1197,82,113Nm@ 4200rpm,5
Hyundai,Grand i10,Hyundai Grand i10,2017,450000,56290,Diesel,Dealer,Manual,First Owner,24,24.0 kmpl,1186,74,190.24nm@ 1750-2250rpm,5
BMW,X4 M Sport X xDrive20d,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,17,16.78 kmpl,1995,190,400Nm@ 1750-2500rpm,5
BMW,X4 M Sport X xDrive20d,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,17,16.78 kmpl,1995,190,400Nm@ 1750-2500rpm,5
Honda,Amaze,Honda Amaze,2019,779000,7032,Petrol,Dealer,Automatic,First Owner,19,19.0 kmpl,1199,89,110Nm@ 4800rpm,5
Skoda,Rapid,Skoda Rapid,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14,14.3 kmpl,1598,104,153Nm@ 3800rpm,5
Volvo,V40 D3,Volvo V40 D3,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,17,16.8 kmpl,1984,150,350Nm@ 1500-2750rpm,5
Jaguar,XF,Jaguar XF,2017,2711000,9000,Diesel,Dealer,Automatic,First Owner,14,13.6 kmpl,1999,177,430Nm@ 1750-2500rpm,5
Jaguar,XF,Jaguar XF,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19,19.33 kmpl,1999,177,430Nm@ 1750-2500rpm,5
Tata,Safari,Tata Safari,2015,503000,110000,Diesel,Individual,Manual,First Owner,14,14.1 kmpl,2179,148,320Nm@ 1500-3000rpm,7
Volvo,XC40 D4,Volvo XC40 D4,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18,18.0 kmpl,1969,190,400Nm,5
Toyota,Camry Hybrid,Toyota Camry Hybrid,2016,2000000,68089,Petrol,Dealer,Automatic,First Owner,19,19.16 kmpl,2494,158,213Nm@ 4500rpm,5
Maruti,Wagon R,Maruti Wagon R,2013,225000,58343,Petrol,Dealer,Manual,First Owner,22,21.79 kmpl,998,67,90Nm@ 3500rpm,5
Maruti,Beno,Maruti Beno,2018,740000,38817,Diesel,Dealer,Manual,First Owner,27,27.39 kmpl,1248,74,190Nm@ 2000rpm,5
Honda,Jazz,Honda Jazz,2016,550000,56494,Petrol,Dealer,Manual,First Owner,18,18.2 kmpl,1199,89,110Nm@ 4800rpm,5
Toyota,Innova,Toyota Innova,2013,750000,79328,Diesel,Dealer,Manual,Second Owner,13,12.99 kmpl,2494,101,200Nm@ 1200-3600rpm,7
Maruti,Swift,Maruti Swift,2019,650000,5621,Petrol,Dealer,Automatic,First Owner,22,22.0 kmpl,1197,82,113Nm@ 4200rpm,5
Toyota,Etios,Toyota Etios,2017,625000,25538,Petrol,Dealer,Manual,First Owner,17,16.78 kmpl,1496,89,132Nm@ 3000rpm,5
Maruti,Swift,Maruti Swift,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,22,22.0 kmpl,1197,82,113Nm@ 4200rpm,5
Hyundai,Grand i10,Hyundai Grand i10,2017,450000,56290,Diesel,Dealer,Manual,First Owner,24,24.0 kmpl,1186,74,190.24nm@ 1750-2250rpm,5
BMW,X4 M Sport X xDrive20d,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,17,16.78 kmpl,1995,190,400Nm@ 1750-2500rpm,5
BMW,X4 M Sport X xDrive20d,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,17,16.78 kmpl,1995,190,400Nm@ 1750-2500rpm,5
Honda,Amaze,Honda Amaze,2019,779000,7032,Petrol,Dealer,Automatic,First Owner,19,19.0 kmpl,1199,89,110Nm@ 4800rpm,5
Skoda,Rapid,Skoda Rapid,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14,14.3 kmpl,1598,104,153Nm@ 3800rpm,5
Volvo,V40 D3,Volvo V40 D3,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,17,16.8 kmpl,1984,150,350Nm@ 1500-2750rpm,5
Jaguar,XF,Jaguar XF,2017,2711000,9000,Diesel,Dealer,Automatic,First Owner,14,13.6 kmpl,1999,177,430Nm@ 1750-2500rpm,5
Jaguar,XF,Jaguar XF,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19,19.33 kmpl,1999,177,430Nm@ 1750-2500rpm,5
Tata,Safari,Tata Safari,2015,503000,110000,Diesel,Individual,Manual,First Owner,14,14.1 kmpl,2179,148,320Nm@ 1500-3000rpm,7
Volvo,XC40 D4,Volvo XC40 D4,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18,18.0 kmpl,1969,190,400Nm,5
Toyota,Camry Hybrid,Toyota Camry Hybrid,2016,2000000,68089,Petrol,Dealer,Automatic,First Owner,19,19.16 kmpl,2494,158,213Nm@ 4500rpm,5
Maruti,Wagon R,Maruti Wagon R,2013,225000,58343,Petrol,Dealer,Manual,First Owner,22,21.79 kmpl,998,67,90Nm@ 3500rpm,5
Maruti,Beno,Maruti Beno,2018,740000,38817,Diesel,Dealer,Manual,First Owner,27,27.39 kmpl,1248,74,190Nm@ 2000rpm,5
Honda,Jazz,Honda Jazz,2016,550000,56494,Petrol,Dealer,Manual,First Owner,18,18.2 kmpl,1199,89,110Nm@ 4800rpm,5
Toyota,Innova,Toyota Innova,2013,750000,79328,Diesel,Dealer,Manual,Second Owner,13,12.99 kmpl,2494,101,200Nm@ 1200-3600rpm,7
Maruti,Swift,Maruti Swift,2019,650000,5621,Petrol,Dealer,Automatic,First Owner,22,22.0 kmpl,1197,82,113Nm@ 4200rpm,5
Toyota,Etios,Toyota Etios,2017,625000,25538,Petrol,Dealer,Manual,First Owner,17,16.78 kmpl,1496,89,132Nm@ 3000rpm,5
Maruti,Swift,Maruti Swift,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,22,22.0 kmpl,1197,82,113Nm@ 4200rpm,5
Hyundai,Grand i10,Hyundai Grand i10,2017,450000,56290,Diesel,Dealer,Manual,First Owner,24,24.0 kmpl,1186,74,190.24nm@ 1750-2250rpm,5
BMW,X4 M Sport X xDrive20d,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,17,16.78 kmpl,1995,190,400Nm@ 1750-2500rpm,5
BMW,X4 M Sport X xDrive20d,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,17,16.78 kmpl,1995,190,400Nm@ 1750-2500rpm,5
Honda,Amaze,Honda Amaze,2019,779000,7032,Petrol,Dealer,Automatic,First Owner,19,19.0 kmpl,1199,89,110Nm@ 4800rpm,5
Skoda,Rapid,Skoda Rapid,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14,14.3 kmpl,1598,104,153Nm@ 3800rpm,5
Volvo,V40 D3,Volvo V40 D3,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,17,16.8 kmpl,1984,150,350Nm@ 1500-2750rpm,5
Ford,Fiesta,Ford Fiesta,2015,590000,80000,Diesel,Individual,Manual,First Owner,25,25.01 kmpl,1498,90,204Nm@ 2000-2750rpm,5
Hyundai,Xcent,Hyundai Xcent,2016,350000,120000,Diesel,Individual,Manual,Second Owner,24,24.4 kmpl,1120,71,180.4Nm@ 1750-2500rpm,5
Maruti,Ignis,Maruti Ignis,2017,484999,30000,Petrol,Individual,Manual,First Owner,21,20.89 kmpl,1197,82,113Nm@ 4200rpm,5
Tata,Indica Vista,Tata Indica Vista,2015,240000,110000,Diesel,Individual,Manual,Second Owner,19,19.1 kmpl,1405,70,135.4Nm@ 2500rpm,5
Maruti,Alto 800,Maruti Alto 800,2017,300000,80000,Petrol,Individual,Manual,First Owner,25,24.7 kmpl,796,47,69Nm@ 3500rpm,5
Maruti,Ciaz,Maruti Ciaz,2016,750000,80000,Diesel,Individual,Manual,First Owner,28,28.09 kmpl,1248,89,200Nm@ 1750rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2016,574000,35000,Petrol,Individual,Manual,Second Owner,21,20.85 kmpl,1197,83,115Nm@ 4000rpm,5
Tata,Indica Vista,Tata Indica Vista,2013,200000,167000,Diesel,Individual,Manual,First Owner,22,22.3 kmpl,1248,89,200Nm@ 1750-3000rpm,5
Hyundai,Creta,Hyundai Creta,2016,1100000,94000,Diesel,Individual,Manual,First Owner,20,19.67 kmpl,1582,126,259.9Nm@ 1900-2750rpm,5
Hyundai,Santro Xing,Hyundai Santro Xing,2012,350000,80000,Petrol,Individual,Manual,First Owner,18,17.92 kmpl,1086,62,96.1Nm@ 3000rpm,5
Toyota,Innova,Toyota Innova,2012,700000,246000,Diesel,Individual,Manual,Second Owner,13,12.99 kmpl,2494,100,200Nm@ 1400-3400rpm,7
Maruti,Beno,Maruti Beno,2019,500000,10000,Petrol,Individual,Manual,First Owner,21,21.4 kmpl,1197,83,115Nm@ 4000rpm,5
Tata,Indigo,Tata Indigo,2016,370000,90000,Diesel,Individual,Manual,First Owner,19,19.09 kmpl,1405,69,135Nm@ 2500rpm,5
Tata,Tigor,Tata Tigor,2019,600000,5200,Petrol,Individual,Manual,First Owner,20,20.3 kmpl,1199,84,114Nm@ 3500rpm,5
Maruti,Swift,Maruti Swift,2013,409999,90000,Diesel,Individual,Manual,Second Owner,23,22.9 kmpl,1248,74,190Nm@ 2000rpm,5
Honda,City,Honda City,2016,750000,50000,Petrol,Individual,Automatic,First Owner,18,18.0 kmpl,1497,117,145Nm@ 4600rpm,5
Hyundai,Grand i10,Hyundai Grand i10,2017,600000,5000,Petrol,Individual,Manual,First Owner,19,18.9 kmpl,1197,82,113.75nm@ 4000rpm,5
Mahindra,KUV 100,Mahindra KUV 100,2018,550000,10500,Petrol,Individual,Manual,First Owner,18,18.15 kmpl,1198,82,115Nm@ 3500-3600rpm,6
Renault,Duster,Renault Duster,2018,950000,26000,Diesel,Individual,Manual,First Owner,20,19.6 kmpl,1461,108,245Nm@ 1750rpm,5
Mahindra,Scorpio,Mahindra Scorpio,2014,645000,139000,Diesel,Individual,Automatic,First Owner,12,11.79 kmpl,2179,120,290Nm@ 1800-2800rpm,8
Mahindra,XUV 500,Mahindra XUV 500,2014,750000,60000,Diesel,Individual,Manual,Second Owner,15,15.1 kmpl,2179,140,330Nm@ 1600-2800rpm,7
Ford,EcoSport,Ford EcoSport,2015,800000,25000,Petrol,Individual,Manual,First Owner,16,15.85 kmpl,1499,110,140Nm@ 4400rpm,5
Toyota,Corolla Altis,Toyota Corolla Altis,2010,350000,60000,Petrol,Individual,Manual,Second Owner,15,14.53 kmpl,1798,138,173Nm@ 4000rpm,5
Ford,EcoSport,Ford EcoSport,2015,700000,25000,Petrol,Individual,Manual,First Owner,16,15.85 kmpl,1499,110,140Nm@ 4400rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2011,335000,15000,Petrol,Individual,Manual,First Owner,18,17.5 kmpl,1298,86,114Nm@ 4000rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2012,270000,110000,Diesel,Individual,Manual,First Owner,19,19.3 kmpl,1248,74,190Nm@ 2000rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2010,320000,100000,Diesel,Individual,Manual,Second Owner,19,19.3 kmpl,1248,74,190Nm@ 2000rpm,5
Audi,A4,Audi A4,2010,730000,55000,Petrol,Individual,Automatic,Second Owner,12,12.3 kmpl,1781,163,"22.9@ 1,950-4,700(kgm@ rpm)",5
Maruti,Alto 800,Maruti Alto 800,2018,310000,13000,Petrol,Individual,Manual,First Owner,25,24.7 kmpl,796,47,69Nm@ 3500rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2015,625000,50000,Diesel,Individual,Manual,First Owner,27,26.59 kmpl,1248,74,190Nm@ 2000rpm,5
Hyundai,i10,Hyundai i10,2012,267000,40000,Petrol,Individual,Manual,First Owner,20,20.36 kmpl,1197,79,111.7Nm@ 4000rpm,5
Hyundai,i20 Active,Hyundai i20 Active,2016,600000,25000,Petrol,Individual,Manual,First Owner,17,17.19 kmpl,1197,82,114.73Nm@ 4000rpm,5
Maruti,Eeco,Maruti Eeco,2011,180000,110000,Petrol,Individual,Manual,Second Owner,15,15.37 kmpl,1196,73,101Nm@ 3000rpm,7
Toyota,Glanza,Toyota Glanza,2019,700000,5000,Petrol,Individual,Manual,First Owner,24,23.87 kmpl,1197,89,113Nm@ 4400rpm,5
Hyundai,Grand i10,Hyundai Grand i10,2014,350000,80000,Petrol,Individual,Manual,Third Owner,19,18.9 kmpl,1197,82,114Nm@ 4000rpm,5
